(69.17250000000001, 34.528899990389206)
(19.8189, 41.327499993783306)
(3.0419999999999994, 36.752499991538706)
(1.5210999999999997, 42.50779999430852)
(13.2343, -8.83679999095047)
(-63.0578, 18.216999986028434)
(-58.4004, -34.60509999042858)
(44.5146, 40.1819999932486)
(-70.02699999999999, 12.52399998826844)
(149.1281, -35.28349999077945)
(16.3707, 48.20639999640256)
(49.891999999999996, 40.37769999334154)
(50.5832, 26.215399986702298)
(90.40739999999998, 23.710399986074965)
(-59.61669999999999, 13.099999987932895)
(27.566699999999997, 53.899999997730944)
(4.349900000000001, 50.846699997108395)
(-88.76669999999999, 17.249999986238592)
(2.4183, 6.365399993199447)
(89.64189999999999, 27.466099987127198)
(-68.15, -16.499999986449517)
(18.3564, 43.84859999486967)
(25.908599999999996, -24.65449998627308)
(-47.9297, -15.779699986691696)
(114.9481, 4.940299994625465)
(23.324199999999998, 42.69749999439027)
(-1.5383000000000002, 12.364199988365701)
(29.924304999999997, -3.4287019962165446)
(104.916, 11.5624999888808)
(11.5167, 3.8666999957485184)
(-75.698, 45.41659999547393)
(18.555, 4.361199995226669)
(15.0444, 12.106699988526271)
(-70.6483, -33.456899989839215)
(116.39720000000001, 39.9074999931172)
(105.6795, -10.421399989689403)
(-74.0818, 4.609699994967328)
(-84.08069999999998, 9.927799990065568)
(15.978, 45.81439999561797)
(-82.3785, 23.11949998597663)
(33.36690000000001, 35.159499990715254)
(14.420799999999995, 50.087999996922264)
(15.313600000000001, -4.327599995261902)
(12.5655, 55.6758999980098)
(43.14469999999999, 11.587699988863937)
(-61.3881, 15.301699986873967)
(-69.90179999999998, 18.48959998598166)
(-78.52499999999998, -0.22989999974296182)
(31.23939999999999, 30.039199988183757)
(-89.18719999999999, 13.689399987614363)
(8.783299999999997, 3.749999995872723)
(38.9333, 15.33329998686137)
(24.7535, 59.43699999844125)
(31.13329999999999, -26.31669998673424)
(38.7469, 9.02499999079275)
(-6.771599999999999, 62.00969999864491)
(24.940200000000004, 60.169199998505334)
(2.3488, 48.853399996590824)
(-52.333299999999994, 4.933299994632689)
(9.4537, 0.3924999995612344)
(-16.6794, 13.453099987739037)
(44.8337, 41.69409999394934)
(13.4105, 52.524399997474475)
(-0.1969, 5.555999993999419)
(-5.3526, 36.14469999122521)
(23.749, 37.95339999215159)
(-51.7216, 64.18349999877941)
(-61.7485, 12.056399988558189)
(144.7489, 13.475699987726935)
(-90.53069999999998, 14.612699987166716)
(-13.647599999999999, 9.571599990346531)
(-15.597699999999998, 11.863599988682106)
(-58.1553, 6.804499992777488)
(-72.33499999999998, 18.539199985973735)
(-87.2068, 14.081799987416431)
(114.1887, 22.27959998587279)
(19.0399, 47.497999996184774)
(-21.8954, 64.1354999987767)
(77.21670000000002, 28.666699987593116)
(106.8416, -6.211799993349126)
(51.421499999999995, 35.69439999099221)
(44.40089999999999, 33.3405999897801)
(-6.248899999999999, 53.33309999762978)
(-4.4833, 54.14999999777358)
(35.2163, 31.76899998899643)
(12.481099999999998, 41.89469999403913)
(2.623842, 6.487342993081402)
(-76.79360000000001, 17.9969999860702)
(139.6917, 35.68949999098967)
(-2.5352999999999994, 49.459799996758136)
(35.945, 31.955199989087433)
(71.44599999999998, 51.18009999718603)
(36.8167, -1.2832999985677906)
(21.165499999999998, 42.66289999437544)
(47.9783, 29.369699987888698)
(74.59, 42.86999999446394)
(102.59999999999998, 17.966699986076247)
(24.1059, 56.94599999817722)
(35.4833, 33.89999999006565)
(27.4833, -29.316699987865878)
(-10.796899999999999, 6.3004999932625525)
(13.1875, 32.87519998954471)
(9.5215, 47.141499996070536)
(25.2798, 54.68919999786175)
(6.130000000000001, 49.611699996798656)
(113.54609999999997, 22.200599985865257)
(21.433299999999996, 41.99999999408597)
(47.53609999999999, -18.913699985919653)
(33.7873, -13.966899987473198)
(101.68649999999998, 3.141199996526415)
(73.5089, 4.174799995422518)
(-7.999999999999998, 12.649999988192993)
(14.514700000000001, 35.899699991098494)
(-61.0733, 14.608899987168405)
(-15.978499999999999, 18.085799986052912)
(45.2272, -12.779399988116715)
(-99.14189999999999, 19.427299985861872)
(28.857499999999998, 47.005599996026135)
(7.4167, 43.73329999482299)
(106.88319999999999, 47.9076999963122)
(19.2636, 42.44109999427957)
(-62.21059999999999, 16.791799986362445)
(-6.8326, 34.013299990123755)
(32.58919999999999, -25.965299986625613)
(96.12969999999999, 19.744999985835552)
(17.083199999999998, -22.55939998590257)
(166.91720700000002, -0.5474849993880491)
(85.32060000000001, 27.701699987214443)
(4.8897, 52.37399999744413)
(-68.93349999999997, 12.10839998852519)
(166.4572, -22.276299985872424)
(174.7756, -41.286599993764625)
(-86.2504, 12.132799988509776)
(2.1098, 13.513699987706676)
(7.489799999999998, 9.057399990765795)
(-169.9213, -19.058499985901435)
(167.9556, -29.056899987755276)
(125.7543, 39.033899992691516)
(10.746100000000002, 59.912699998483426)
(58.592200000000005, 23.613899986057543)
(73.05940000000001, 33.70349998996506)
(35.2075, 31.899499989060168)
(-79.51959999999998, 8.99579999081709)
(147.1797, -9.443099990449827)
(-57.6359, -25.30069998643613)
(-77.02820000000001, -12.043199988566576)
(120.9822, 14.604199987170567)
(21.0118, 52.229799997414545)
(-9.139899999999999, 38.71689999253451)
